date,status_text,predicted_stance,predicted_country,stance_anno1,country_anno1,stance_anno2,country_anno2,stance_gold,country_gold
02/27/19,"The time for peace is now, and the time to reject politics that exploit an entire nation’s army and its public for one man’s political ambitions is now. Let better sense prevail. #SayNoToWar https://t.co/ycNSB227IiNEXT_TWEETBut a desperate bid to win an election by one man is gripping an entire nation in war hysteria. India needs to realise that war is in no one’s interest except Narendra Modi; whose escalating ego is reminiscent of dictators who started world wars.#SayNoToWar https://t.co/uNZZ40hXD0NEXT_TWEETThere is a new leadership in Pakistan today, that wants peace but will not bow down where it’s sovereignty is concerned. Since taking power, PM Imran Khan has at multiple occasions reiterated the need for a dialogue and resolution. #SayNoToWar https://t.co/GPRA9HgyNVNEXT_TWEET“Two Nuclear-Armed countries cannot think of war. They should not even think of cold war because it can turn hot at any stage &amp; you do not take a chance when two countries have nuclear bombs” PM Imran Khan has always been an ambassador of peace #SayNoToWar  #LetBetterSensePrevail https://t.co/z0dh2btDQbNEXT_TWEETEscalation of tensions between #India #Pakistan are very worrying. A reminder that underlying issues in #Kashmir must be addressed. 'Excessive use of state-led violence' and persistent human rights abuses under PM Modi have caused a growing insurgency in Kashmir. #SayNoToWar https://t.co/8kbLQhDbBRNEXT_TWEETWe extended an olive branch to India but alas the Indian govt resorted to unprovoked aggression. As a sovereign state we reserve the right to protect our land and our airspace. India must show maturity now to avoid a war with us.

#PakistanZindaabad https://t.co/x6KIHYTb94NEXT_TWEETPrime Minister of Pakistan Imran Khan Address to Nation with English Subtitles (27.02.19)
#BetterSenseShouldPrevail
@ImranKhanPTI https://t.co/2awqpTnlOfNEXT_TWEETIn times of war drums beating,it is the acts of kindness that will be remembered.We want India and the world today to see how Pakistan army rescued the Indian Air Force Officer from an angry mob &amp; treated him w/dignity.Say NO to the attempts to start a war. #LetBetterSensePrevail https://t.co/PrkCxWnU6ONEXT_TWEETPrime Minister Imran Khan addressing the nation. 
#PrimeMinisterImrankhan 
#PakistanZindaabad 
 https://t.co/ZlMgDDiYvMNEXT_TWEETIt was our plan to not cause any collateral damage, and not to cause any casualties.We simply wanted to show capability. Two Indian Migs crossed Pakistan’s Borders, and we shot them down.I want to now address India and say let sanity prevail. 
#BetterSenseShouldPrevail https://t.co/HsicyaqgUuNEXT_TWEETI ask India,given the weapons capability on both sides, can we afford a miscalculation? It will neither be in my control nor Modi’s.We are ready to come on the table and talk about terrorism that affects both the countries. We are ready. #BetterSenseShouldPrevail @ImranKhanPTI https://t.co/KybAdtTfRRNEXT_TWEETBut I had a hunch that India would escalate &amp;that is why in my earlier speech I had stated that if India plays war games, we will retaliate We waited, &amp;today we took action. It was our plan to not cause any collateral damage &amp;not to cause any casualties.
#BetterSenseShouldPrevail https://t.co/Bc7d5BDagiNEXT_TWEETWe simply wanted to show capability. Two Indian Migs crossed Pakistan’s Borders, and we shot them down. I also want to state that the pilot is with us. I want to now address India and say let sanity prevail. Let’s think sensibly. 
#BetterSenseShouldPrevail https://t.co/ofo07WhQTWNEXT_TWEETآنکھ سے آنکھ ملانے کا ہنر رکھتا ہے
ایسا لیڈر تو زمانوں میں کہیں ملتا ہے
#PrimeMinisterImranKhan
#BetterSenseShouldPrevail https://t.co/zfbTOv5vvUNEXT_TWEET""I ask India,given the weapons capability on both sides, can we afford a miscalculation? It will neither be in my control nor Modi’s. We want to come to table &amp; talk about terrorism that effects both the countries. We are ready. Let better sense prevail""
#BetterSenseShouldPrevail https://t.co/AzmNYvk9RpNEXT_TWEETNor today's incident calls for some celebration. In war no one wins but only the humanity loose. 

At this point international community should also act responsibly and play its role for regional peace and stability. #PakistanZindabad
@OfficialDGISPR https://t.co/M5GbA2bSmx",anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan
02/27/19,"Indians, Pakistanis Tweet #SayNoToWar As Tensions Escalate https://t.co/zlS8sdtC8d",anti_war,Neutral,anti_war,cant_say,anti_war,cant_say,anti_war,cant_say
02/20/19,"जम्मू-कश्मीरः केंद्रीय गृह मंत्री @rajnathsingh जी नें बडगाम में शहीद जवानों को दी श्रद्धांजलि... 😭🙏😢

#ॐ_शांति
#IndiaWantsRevenge https://t.co/ISEpD19yHfNEXT_TWEETइजरायल के पीएम @netanyahu ने #PulwamaAttack पर कहा,हम भारत के साथ खड़े हैं

यह होता है देश के प्रति एवं PM मोदी जी के प्रति मित्रता का प्रेम ...

#IndiaWantsRevengeNEXT_TWEETआतंकी हमले पर फूटा कंगना का गुस्सा,
कहा- पाकिस्तान को बैन नहीं बर्बाद कर दो.. #StandWithForces
#IndiaWantsRevenge https://t.co/raZaJAP2eENEXT_TWEETपुलवामा हमले के चलते गुजरात के वडोदरा में हुई अनोखी शादी, बारात में बजे देशभक्ति के गाने... 
#जयहिंद 🇮🇳 
#IndiaWantsRevenge 
#StandWIthForces https://t.co/uMLVTfTK9WNEXT_TWEETअजीब बँटवारा
हुआ इस देश का....

सारे आतंकी उस तरफ
उनके समर्थक इस तरफ....

#IndiaWantsRevenge",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
02/24/19,"2 Nuclear power countries, ready to attack each other. 

#IndiaWantsRevenge #PakistanTayarHai https://t.co/GO5pVnPKHN",anti_war,pro_pakistan,pro_war,pro_pakistan,pro_war,pro_pakistan,pro_war,pro_pakistan
02/20/19,News channels should not invite politicians on shows connected to the #PulwamaAttack. Please invite geostrategic experts but stop giving platforms to politicians from any party on an issue as sensitive as this,Unclassified,Neutral,neutral,neutral,neutral,Neutral,neutral,neutral
02/16/19,"भारत के प्रधानमंत्री जी को कड़ा कदम उठाकर #Pulwama में #CRPF पर हुए हमले के विरुद्ध एक्शन लेना चाहिए, और इसमें देश को भी प्रधानमंत्री जी के साथ खड़ा होना पड़ेगा और इसमें किसी भी प्रकार की औछी राजनीति नहीं होनी चाहिए। #PhulwamaTerrorAttack #PulwamaRevenge #RIPBraveHeartsNEXT_TWEETकाश बाला साहेब ठाकरे जी उस समय PM बने होते तो आज ये समस्या हमे देखने को ही नही मिलता।
आज की स्तिथि में हमे ठाकरे जी के द्वारा बताए रास्ते को अपनाने की जरूरत है
@narendramodi जी पूरा देश आपके साथ है अबकी बार आर या पार बहुत हुआ धैर्य-संयम..😢
@PMOIndia 
#IndiaWantsRevenge https://t.co/kApaX2qWqc",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
02/19/19,"India walo humary pas aj ka din ha jung karni ha tu karlo kal se hum apne PSL me masrof hongy..😆

#GayHind #PulwamaAttackNEXT_TWEETwhat a speech @ImranKhanPTI you beauty 😍

#PMIK #PulwamaAttack",anti_war,pro_pakistan,pro_war,pro_pakistan,pro_war,pro_pakistan,pro_war,pro_pakistan
03/02/19,"यदि अभिनन्दन न लौटते तो मोदी को गालियां.
लौटा दिया तो इमरान को शुक्रिया.
सच में बड़े वाले मादर** हो तुम विपक्षी

#WelcomeBackAbhinandan #Abhinandan #MeraBoothSabseMazboot @TajinderBagga @EKVillainOO7 @pandey_indrani @Sunitagupta__ @iSunidhi @gunjakapoor @Yashkin5 @GitaSKapoorNEXT_TWEETकल हमारे विंग कमांडर अभिनंदन जी का वापस आना इसलिए मुमकिन हो रहा है

क्योंकि प्रियंका गांधी की नाक स्वर्गीय इंदिरा जी से मिलती है😜

@Dr_SimranSingh 

#Abhinandan #SayYesToWar #WelcomeBackAbhinandan #MeraJawanSabseMajboot #AbhinandanMyHero #MeraBoothSabseMazbootNEXT_TWEETAfter #PulwamaAttack Congress Twitted... https://t.co/iThF1qdskD",anti_war,Neutral,pro_war,pro_india,pro_war,Pro_india,pro_war,pro_india
03/01/19,"Historic day today..
Shri #Abhinandan is returning back today and
Shri @narendramodi visiting TamilNadu 😍😍

#மக்கள்_பிரதமர்_மோடி 
#Peoples_PM_Modi
#TNWelcomesModi
#WelcomeBackAbhinandanNEXT_TWEETF16                  MIG 21

Speed   2,414 km/h    2,229 km/h

Cost     18.8 M USD     2M USD

Thrust  27,000 pounds 15,650

Year      1998                1959

Pilot  Shahzad-ud-Din  #Abhinandan 

Made in    US                     Russia

#TNWelcomesModi 
#ThankYouModi  RT 🙏🏻 https://t.co/H2dFj1oZPI",anti_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
02/17/19,That's a start #pulwama  J&amp;K administration withdraws security of 5 separatist leaders https://t.co/1SzvpKe9TO via @timesofindia,pro_war,pro_india,neutral,pro_india,neutral,pro_india,neutral,pro_india
